DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2013-02-06,32330,9340,103.5,105.0,103.0,105.0,+,2.0,27512,12025,15486,109,426,-317,-3293,430,3723,11876
2013-02-18,64345,13470,107.0,108.5,106.5,107.0,+,2.0,57660,38638,19022,264,910,-646,-2425,641,3066,15951
2013-02-19,22103,6114,108.5,108.5,106.5,107.0, ,0.0,16813,12053,4759,320,349,-29,-1105,552,1657,3625
2013-02-20,41921,10171,108.5,109.5,108.0,109.0,+,2.0,36414,22776,13637,104,560,-456,-1862,597,2459,11319
2013-02-21,30551,7485,108.5,108.5,107.0,107.0,-,2.0,26165,24032,2132,0,1182,-1182,-926,392,1318,24
2013-02-22,39577,10313,106.0,106.5,105.0,105.5,-,1.5,22165,35973,-13808,52,161,-109,1505,2355,849,-12412
2013-02-23,10174,3022,106.5,107.5,106.0,107.0,+,1.5,4162,26,4136,102,771,-669,-592,519,1111,2875
2013-02-25,37216,8564,106.5,107.0,105.0,105.0,-,2.0,25151,29236,-4085,500,59,441,-369,778,1147,-4013
2013-02-26,38498,9572,103.5,105.0,102.5,103.5,-,1.5,19485,28264,-8779,530,491,39,136,1048,912,-8604
2013-02-27,81358,13654,102.0,104.5,101.0,104.5,+,1.0,36511,63218,-26706,774,1666,-892,1712,2451,739,-25886
2013-03-01,35081,9263,103.0,105.0,102.5,105.0,+,0.5,24173,27303,-3130,0,1408,-1408,-191,1118,1309,-4729
2013-03-04,55265,11896,104.5,104.5,101.5,102.0,-,3.0,26640,46764,-20123,0,2313,-2313,2538,2732,193,-19898
2013-03-05,56213,9603,103.5,104.0,102.5,104.0,+,2.0,46530,43036,3493,825,1852,-1027,-1411,893,2304,1055
2013-03-06,38026,6844,104.0,104.5,103.0,104.0, ,0.0,33701,29780,3921,100,782,-682,-746,495,1241,2493
2013-03-07,20783,6812,103.5,104.0,103.0,103.0,-,1.0,15121,14218,902,40,1100,-1060,-496,498,994,-653
2013-03-08,46036,8598,103.0,104.5,102.0,103.5,+,0.5,36098,27388,8709,344,3462,-3118,-1613,769,2382,3978
2013-03-11,36093,9071,102.0,104.0,102.0,102.0,-,1.5,20489,27564,-7075,0,1616,-1616,-392,1158,1550,-9083
2013-03-12,30064,6294,102.0,103.0,101.5,102.5,+,0.5,21646,18670,2976,40,3137,-3097,-72,556,628,-192
2013-03-13,57955,9978,102.5,105.0,102.0,104.5,+,2.0,50713,41194,9518,50,1375,-1325,-2560,513,3073,5633
2013-03-14,33067,7022,104.0,104.5,103.0,104.0,-,0.5,22627,26008,-3380,281,617,-336,-2014,329,2343,-5731
2013-03-15,35632,6030,105.0,105.0,103.0,103.0,-,1.0,21338,28450,-7112,4935,119,4816,-1895,562,2457,-4191
2013-03-18,44188,11128,102.0,102.0,100.5,100.5,-,2.5,11971,38735,-26764,239,390,-151,431,1513,1082,-26484
2013-03-19,50765,11099,101.0,101.5,99.6,100.0,-,0.5,16753,42771,-26018,73,1983,-1910,-190,825,1015,-28118
2013-03-20,64024,13861,99.5,99.5,98.8,98.8,-,1.2,23986,56627,-32641,32,330,-298,779,2171,1392,-32160
2013-03-21,58467,13448,98.8,100.5,98.7,98.7,-,0.1,21982,50181,-28198,920,1305,-385,1400,2891,1491,-27183
2013-03-22,44937,12072,98.6,99.1,98.0,98.0,-,0.7,12341,35107,-22766,210,1956,-1746,-66,1354,1420,-24578
2013-03-25,25469,7606,99.9,100.5,99.2,99.5,+,1.5,16990,13559,3430,0,289,-289,-943,330,1273,2198
2013-03-26,27220,8019,99.2,99.4,98.8,99.0,-,0.5,14581,23509,-8928,104,1209,-1105,153,490,337,-9880
2013-03-27,29969,7304,99.0,100.5,98.8,100.5,+,1.5,20269,20099,169,127,1452,-1325,-1622,226,1848,-2777
2013-03-28,29558,7232,100.0,100.5,99.3,100.0,-,0.5,18962,24480,-5517,0,296,-296,-1115,751,1866,-6928
2013-03-29,19003,5024,100.0,101.0,99.8,100.5,+,0.5,13477,13009,467,46,407,-361,-89,411,500,17
2013-04-01,16374,4450,101.0,102.0,100.5,101.0,+,0.5,10740,8945,1795,70,670,-600,-521,394,915,674
2013-04-02,22334,6500,100.5,101.0,99.8,100.5,-,0.5,13627,20167,-6539,163,188,-25,-306,315,621,-6870
2013-04-03,27097,6886,101.5,101.5,100.0,100.5, ,0.0,20627,23412,-2784,200,423,-223,-877,48,925,-3884
2013-04-08,58367,11496,99.0,99.5,98.5,98.5,-,2.0,37478,53306,-15827,58,135,-77,612,1427,815,-15292
2013-04-09,41316,10389,98.0,98.5,97.5,97.5,-,1.0,16017,39278,-23260,645,62,583,1166,1519,352,-21510
2013-04-10,36746,7197,98.8,98.8,97.7,98.3,+,0.8,22518,34704,-12186,674,0,674,409,914,505,-11103
2013-04-11,57867,12430,99.0,101.5,98.8,101.5,+,3.2,42652,39732,2919,1048,1131,-83,1440,3797,2357,4276
2013-04-12,19568,5602,101.5,101.5,100.0,100.5,-,1.0,15140,14880,259,66,0,66,-961,313,1274,-635
2013-04-15,23440,6275,100.5,101.0,99.1,99.4,-,1.1,14837,18298,-3460,207,799,-592,284,1226,942,-3768
2013-04-16,35918,8309,98.2,101.0,98.2,100.5,+,1.1,26345,28525,-2180,83,608,-525,1511,2403,892,-1194
2013-04-17,35897,7663,101.5,101.5,99.7,100.0,-,0.5,31222,30446,775,232,215,16,-473,958,1431,318
2013-04-18,33083,7209,100.0,101.0,99.4,99.9,-,0.1,23297,27942,-4645,0,401,-401,1172,1818,646,-3874
2013-04-19,66950,15197,105.5,106.5,105.5,106.5,+,6.6,34804,17785,17018,4394,400,3994,684,2983,2299,21696
2013-04-22,72502,16146,108.5,109.5,107.5,108.5,+,2.0,57421,39552,17869,2657,208,2449,-151,2234,2385,20167
2013-04-23,46146,10405,106.5,107.5,105.5,106.0,-,2.5,34513,36318,-1805,460,609,-149,1542,2032,490,-412
2013-04-24,35495,10908,106.5,107.0,104.5,106.0, ,0.0,23776,24756,-980,130,12,118,1633,2488,855,770
2013-04-25,26287,7044,106.0,107.0,105.5,107.0,+,1.0,18790,11384,7405,424,396,28,-729,1010,1739,6704
2013-04-26,36776,11735,107.0,109.0,107.0,108.5,+,1.5,31537,13197,18339,408,762,-354,-2391,1396,3787,15594
2013-04-29,21092,6502,108.5,108.5,107.5,108.0,-,0.5,18007,10854,7152,60,257,-197,-389,399,788,6566
2013-04-30,34612,10732,108.5,109.5,108.5,109.5,+,1.5,30762,19227,11534,306,728,-422,609,1031,422,11721
2013-05-02,38796,10471,110.0,111.0,109.0,110.5,+,1.0,35052,16950,18101,211,189,22,-1525,941,2466,16598
2013-05-03,36621,9832,111.5,112.5,110.0,110.0,-,0.5,29338,23087,6250,210,291,-81,-3059,919,3978,3110
2013-05-06,19393,6706,111.5,111.5,110.5,111.5,+,1.5,17494,8125,9369,236,387,-151,-2016,496,2512,7202
2013-05-07,22448,7353,112.0,113.0,111.0,112.5,+,1.0,20309,10754,9554,0,355,-355,-362,303,665,8837
2013-05-08,42509,11870,112.5,115.0,112.5,114.5,+,2.0,37784,20923,16861,6,307,-301,-936,954,1890,15624
2013-05-09,27606,9101,116.0,116.0,114.5,115.0,+,0.5,21034,12639,8395,2199,284,1915,1,758,757,10311
2013-05-10,27536,7521,115.0,115.0,113.5,114.5,-,0.5,23920,12432,11488,0,999,-999,-15,583,598,10474
2013-05-13,18263,3993,115.0,115.5,114.0,114.5, ,0.0,15756,4253,11503,0,315,-315,-1091,388,1479,10097
2013-05-14,27855,7881,115.5,116.5,115.0,115.5,+,1.0,24513,6748,17764,1,1473,-1472,-802,335,1137,15489
2013-05-15,29107,6849,115.0,116.0,113.5,115.0,-,0.5,22004,19929,2074,50,664,-614,1687,2168,481,3147
2013-05-16,45770,10033,115.0,116.0,113.0,113.5,-,1.5,32527,37294,-4766,0,525,-525,1677,2494,817,-3614
2013-05-17,19316,6145,112.0,113.5,111.5,113.5, ,0.0,14069,9965,4103,0,534,-534,206,1319,1113,3775
2013-05-20,16882,4897,112.5,114.0,112.5,114.0,+,0.5,13711,10759,2952,0,311,-311,-411,510,921,2230
2013-05-21,17238,5038,113.0,113.5,112.0,112.5,-,1.5,10970,11415,-444,0,416,-416,940,1815,875,79
2013-05-22,34068,8462,112.5,113.5,111.0,112.0,-,0.5,24943,29835,-4892,0,421,-421,779,1631,852,-4534
2013-05-23,46874,12254,110.5,111.5,108.0,108.0,-,4.0,19485,35437,-15952,500,1772,-1272,-811,2356,3167,-18035
2013-05-24,26736,7786,109.5,110.5,108.5,109.5,+,1.5,10116,14183,-4066,1,115,-114,-611,1933,2544,-4791
2013-05-27,19161,6339,109.5,112.0,109.5,112.0,+,2.5,9516,11430,-1914,142,55,87,603,1723,1120,-1224
2013-05-28,22762,5944,112.0,112.5,109.5,109.5,-,2.5,7231,20008,-12777,3170,203,2967,159,1249,1090,-9651
2013-05-29,16781,4809,110.5,112.0,110.5,111.0,+,1.5,13441,12143,1298,400,197,203,-508,345,853,993
2013-05-30,36121,6534,111.0,111.5,109.5,110.0,-,1.0,25770,32189,-6419,4,120,-116,-429,1177,1606,-6964
2013-05-31,37205,7620,111.5,111.5,109.0,109.5,-,0.5,29046,33641,-4595,8,60,-52,-681,555,1236,-5328
2013-06-03,35834,9111,108.0,108.5,106.5,107.5,-,2.0,13642,29138,-15496,0,111,-111,307,1255,948,-15300
2013-06-04,27476,6964,109.0,110.0,107.5,109.0,+,1.5,24182,20257,3924,0,546,-546,-1571,300,1871,1807
2013-06-05,25581,4331,109.5,110.5,108.5,109.5,+,0.5,22248,20555,1692,9,351,-342,-117,479,596,1233
2013-06-06,34251,8225,108.5,109.5,107.0,107.5,-,2.0,20610,29200,-8590,0,115,-115,1096,1788,692,-7609
2013-06-07,33085,9288,108.0,109.5,108.0,108.5,+,1.0,20544,23775,-3231,291,892,-601,-731,1100,1831,-4563
2013-06-10,21941,5544,110.0,110.0,108.0,108.5, ,0.0,8281,18155,-9874,314,43,271,3037,3478,441,-6566
2013-06-11,37162,7971,110.0,110.0,108.0,108.0,-,0.5,25778,33125,-7347,258,0,258,108,965,857,-6981
2013-06-13,61059,15038,106.0,107.0,104.0,104.5,-,3.5,26605,54480,-27874,591,269,322,2215,3269,1054,-25337
2013-06-14,41207,8686,105.0,106.0,104.5,106.0,+,1.5,32333,29369,2963,593,0,593,-3849,629,4478,-292
2013-06-17,23014,7015,105.5,106.0,105.0,106.0, ,0.0,13258,19100,-5842,629,7,622,658,900,242,-4562
2013-06-18,31676,6753,105.0,106.5,104.5,106.5,+,0.5,18891,23013,-4122,0,118,-118,507,1286,779,-3733
2013-06-19,22084,5112,106.0,106.5,105.0,105.5,-,1.0,8575,19685,-11110,330,116,214,1134,1677,543,-9762
2013-06-20,29998,8257,105.0,105.5,103.5,104.0,-,1.5,14370,24919,-10549,91,124,-33,331,1337,1006,-10251
2013-06-21,39844,8632,102.0,103.5,101.5,103.5,-,0.5,21513,28007,-6493,1094,623,471,-590,1684,2274,-6612
2013-06-24,54091,12255,102.5,102.5,100.0,101.0,-,2.5,23152,48480,-25328,304,643,-339,645,1991,1346,-25022
2013-06-25,33897,8672,101.0,103.0,101.0,101.0, ,0.0,19543,27242,-7699,80,250,-170,2232,3276,1044,-5637
2013-06-26,55865,12682,103.0,104.0,101.5,101.5,+,0.5,37771,47284,-9513,1186,68,1118,-199,1446,1645,-8594
2013-06-27,46982,12441,103.0,105.0,103.0,104.5,+,3.0,32756,34679,-1923,304,0,304,-1347,1194,2541,-2966
2013-06-28,74514,15111,106.0,111.0,105.0,111.0,+,6.5,50187,41923,8263,220,717,-497,-2427,1161,3588,5339
2013-07-01,51935,14947,109.0,109.5,108.0,108.0,-,3.0,25849,39462,-13612,25,850,-825,1517,3637,2120,-12920
2013-07-02,44982,12114,109.0,110.0,108.5,110.0,+,2.0,15004,24297,-9293,302,329,-27,3229,3591,362,-6091
2013-07-03,44740,11083,107.0,107.0,105.5,107.0,X,0.0,23517,19505,4012,174,15,159,-5127,494,5621,-955
2013-07-04,24500,7185,106.5,107.0,106.0,107.0, ,0.0,17024,13478,3545,83,134,-51,-91,549,640,3403
2013-07-05,28276,8054,107.5,109.5,107.0,109.0,+,2.0,22332,12708,9623,332,61,271,275,989,714,10169
2013-07-08,32770,8927,107.0,108.0,104.5,105.0,-,4.0,16888,28259,-11371,290,5,285,-277,1176,1453,-11363
2013-07-09,35511,7985,104.5,106.5,103.5,106.0,+,1.0,26129,30119,-3990,402,573,-171,168,1152,984,-3993
2013-07-10,22082,6180,104.5,107.0,104.5,106.0, ,0.0,15799,15092,706,200,125,75,-673,614,1287,108
2013-07-11,56918,13597,107.5,109.5,107.5,109.5,+,3.5,48521,26332,22188,609,338,270,-1105,984,2089,21353
2013-07-12,31046,8347,109.5,110.0,108.5,110.0,+,0.5,28307,13189,15118,294,1336,-1042,-1475,42,1517,12601
2013-07-15,33373,7527,108.5,109.5,108.0,109.5,-,0.5,28133,16786,11346,109,238,-129,-68,484,552,11149
2013-07-16,35961,7121,108.5,109.0,107.0,108.0,-,1.5,26520,25084,1435,100,2833,-2733,822,1392,570,-475
2013-07-17,40121,7538,108.0,109.0,107.0,109.0,+,1.0,36351,24257,12093,36,798,-762,-1599,133,1732,9732
2013-07-18,53223,10862,107.5,108.0,105.5,105.5,-,3.5,38475,41621,-3146,6,934,-928,1171,1845,674,-2904
2013-07-19,123330,33783,99.4,99.7,98.2,98.2,-,7.3,44620,95292,-50672,665,4413,-3748,703,2926,2223,-53717
2013-07-22,88048,23948,98.0,98.4,96.9,97.0,-,1.2,39280,73161,-33881,60,1130,-1070,2722,3098,376,-32229
2013-07-23,85595,20652,98.5,101.5,98.5,100.0,+,3.0,56057,60691,-4633,621,366,255,857,2283,1426,-3521
2013-07-24,58355,13201,100.5,103.0,100.0,102.0,+,2.0,40130,39518,612,15,122,-107,-167,1065,1232,338
2013-07-25,37559,9555,102.0,103.5,101.0,102.5,+,0.5,26679,25162,1516,432,283,149,-703,343,1046,962
2013-07-26,31817,7680,103.0,103.0,101.0,102.5, ,0.0,21607,26142,-4535,0,384,-384,-121,528,649,-5040
2013-07-29,38334,9559,100.0,101.5,100.0,100.0,-,2.5,21923,32944,-11021,581,432,149,-705,143,848,-11577
2013-07-30,33871,8756,100.5,102.5,100.5,102.0,+,2.0,25535,26622,-1087,800,872,-72,373,761,388,-786
2013-07-31,36997,7128,101.5,103.0,101.0,102.5,+,0.5,29188,28839,348,12,495,-483,-143,479,622,-277
2013-08-01,32509,7756,102.0,102.0,100.0,100.5,-,2.0,20945,28393,-7448,0,277,-277,-296,374,670,-8021
2013-08-02,28039,7866,102.5,103.0,100.0,100.5, ,0.0,23240,20648,2592,67,895,-828,-54,600,654,1710
2013-08-05,23372,6400,100.0,101.5,99.9,100.5, ,0.0,14907,17834,-2926,30,2138,-2108,399,764,365,-4635
2013-08-06,42787,13012,100.5,100.5,98.6,98.8,-,1.7,17268,36998,-19730,0,420,-420,-13,655,668,-20163
2013-08-07,45969,15082,98.5,98.5,97.0,97.0,-,1.8,15935,39035,-23100,124,715,-591,-587,139,726,-24278
2013-08-08,55873,14412,96.0,97.1,95.3,96.4,-,0.6,14847,46908,-32061,165,1112,-947,209,1003,794,-32799
2013-08-09,47192,13162,100.0,100.0,96.4,96.4, ,0.0,23121,37549,-14428,79,1415,-1336,642,1103,461,-15122
2013-08-12,33454,10395,96.4,96.7,95.6,96.0,-,0.4,14285,27793,-13507,49,389,-340,341,1053,712,-13506
2013-08-13,34392,9192,96.0,97.4,96.0,97.2,+,1.2,19643,27324,-7681,0,1433,-1433,528,842,314,-8586
2013-08-14,44023,9471,96.0,97.3,95.8,96.8,-,0.4,24069,35826,-11757,38,1613,-1575,-387,381,768,-13719
2013-08-15,42687,13251,96.4,96.4,95.3,96.0,-,0.8,17393,36486,-19093,124,363,-239,-11,564,575,-19343
2013-08-16,37698,11061,95.4,97.5,95.2,96.5,+,0.5,22639,25778,-3139,156,472,-316,717,1426,709,-2738
2013-08-19,52061,11661,95.5,96.1,95.3,95.5,-,1.0,22194,46532,-24338,233,949,-716,223,681,458,-24831
2013-08-20,42471,13924,95.2,95.4,94.4,94.4,-,1.1,16363,30029,-13666,243,2471,-2228,-1062,494,1556,-16956
2013-08-22,60311,15238,93.0,94.9,92.9,94.5,+,0.1,38287,46383,-8095,294,1555,-1261,-745,756,1501,-10101
2013-08-23,44454,12547,95.7,97.3,95.5,97.0,+,2.5,24338,26797,-2459,1409,55,1354,767,1341,574,-338
2013-08-26,18698,6745,97.6,97.6,96.1,96.8,-,0.2,9066,11909,-2843,406,10,396,-558,330,888,-3005
2013-08-27,24474,7827,96.0,96.8,95.6,95.6,-,1.2,15924,18954,-3030,335,200,135,-946,437,1383,-3841
2013-08-28,35977,10927,95.6,97.3,95.1,96.8,+,1.2,28492,20154,8337,586,243,343,-1009,425,1434,7671
2013-08-29,52396,11284,96.9,98.9,96.9,98.7,+,1.9,46301,32504,13796,1049,500,549,-332,944,1276,14013
2013-08-30,38965,11441,99.6,100.5,98.8,100.5,+,1.8,33319,14637,18682,680,655,25,-1310,274,1584,17397
2013-09-02,30859,10416,100.0,102.0,99.6,102.0,+,1.5,26967,7156,19810,0,898,-898,-343,288,631,18569
2013-09-03,33838,10651,103.0,103.0,101.5,102.0, ,0.0,27524,12751,14772,818,2317,-1498,-977,185,1162,12297
2013-09-04,25229,8405,100.5,101.5,100.0,100.5,-,1.5,17570,18636,-1066,0,508,-508,354,537,183,-1220
2013-09-05,35890,6991,100.5,101.5,100.0,101.5,+,1.0,26124,29555,-3431,103,591,-488,1620,1652,32,-2299
2013-09-06,25342,6824,102.0,102.0,101.0,102.0,+,0.5,22010,16118,5891,387,370,17,-156,183,339,5752
2013-09-09,33083,9300,102.5,103.0,101.0,103.0,+,1.0,28113,18291,9822,54,112,-58,-275,287,562,9489
2013-09-10,37392,10178,103.0,104.5,102.5,104.5,+,1.5,33838,14315,19523,193,0,193,-656,106,762,19060
2013-09-11,41349,8961,103.0,104.5,102.5,104.5, ,0.0,37393,23136,14256,426,31,395,467,831,364,15118
2013-09-12,32865,7435,103.0,104.5,103.0,103.5,-,1.0,30161,21076,9084,0,68,-68,-663,158,821,8353
2013-09-13,23635,6354,102.5,103.0,102.0,102.5,-,1.0,20381,18205,2175,60,974,-914,-228,91,319,1033
2013-09-14,5222,2440,102.5,103.5,102.0,102.5, ,0.0,3652,301,3351,56,110,-54,-398,58,456,2899
2013-09-16,40693,12903,104.0,105.5,104.0,105.5,+,3.0,36780,8988,27791,80,444,-364,76,270,194,27503
2013-09-17,25467,5644,105.5,105.5,104.5,105.5, ,0.0,23232,15875,7356,0,164,-164,-643,12,655,6549
2013-09-18,34987,5930,105.0,105.5,103.0,103.0,-,2.5,27702,27952,-250,81,1881,-1800,801,1154,353,-1249
2013-09-23,57281,11435,103.0,106.0,102.5,105.5,+,2.5,52873,43344,9528,0,538,-538,-625,166,791,8365
2013-09-24,28676,6370,105.0,105.5,104.0,105.0,-,0.5,26356,19555,6800,60,645,-585,-1114,92,1206,5101
2013-09-25,35289,9153,104.5,104.5,103.0,103.0,-,2.0,28047,24139,3907,74,261,-187,-65,326,391,3655
2013-09-26,23059,5431,103.5,103.5,101.5,101.5,-,1.5,17718,13790,3928,44,684,-640,-1086,168,1254,2202
2013-09-27,26663,5626,103.5,103.5,102.0,103.0,+,1.5,23233,16822,6410,50,20,30,-122,122,244,6318
2013-09-30,46224,11263,100.5,102.0,100.0,100.5,-,2.5,20398,37507,-17109,342,455,-113,516,856,340,-16706
2013-10-01,22927,5825,100.5,102.5,100.5,101.5,+,1.0,15087,18449,-3361,122,139,-17,-470,142,612,-3848
2013-10-02,14707,5617,103.5,103.5,102.0,103.0,+,1.5,13064,7956,5108,110,263,-153,-356,61,417,4599
2013-10-03,50840,14268,103.5,106.0,103.0,105.0,+,2.0,44124,18914,25209,152,23,129,275,997,722,25613
2013-10-04,21986,5554,104.5,105.0,103.5,104.0,-,1.0,15192,18781,-3589,75,12,63,713,748,35,-2813
2013-10-07,24399,5290,103.5,104.0,102.0,103.0,-,1.0,17526,21570,-4043,64,364,-300,-150,366,516,-4493
2013-10-08,35150,5955,103.5,105.5,103.0,105.0,+,2.0,31263,26184,5079,545,103,442,-690,246,936,4831
2013-10-09,26186,5570,104.0,105.5,103.0,105.0, ,0.0,22552,19758,2793,222,203,19,-505,37,542,2307
2013-10-11,59435,14696,105.0,107.5,105.0,106.5,+,1.5,47889,40048,7840,679,446,232,123,680,557,8196
2013-10-14,18800,5172,106.5,106.5,105.0,105.0,-,1.5,11760,8082,3678,1626,74,1552,-331,233,564,4899
2013-10-15,21681,5043,106.5,107.0,106.0,107.0,+,2.0,16464,8565,7899,685,16,669,848,894,46,9416
2013-10-16,19077,5610,108.0,108.0,106.0,106.0,-,1.0,15565,7411,8154,370,16,354,646,872,226,9154
2013-10-17,28186,7058,107.5,108.0,107.0,107.0,+,1.0,21843,13901,7941,292,129,163,705,786,81,8809
2013-10-18,60125,16771,108.5,110.0,108.5,110.0,+,3.0,51655,12495,39160,310,49,261,-641,541,1182,38780
2013-10-21,41327,9241,111.0,111.5,109.5,110.0, ,0.0,37613,24192,13421,93,333,-240,-440,167,607,12741
2013-10-22,39837,8828,110.0,111.5,109.5,111.5,+,1.5,35615,18045,17569,37,153,-116,-132,446,578,17321
2013-10-23,23057,5675,111.0,111.5,110.0,111.0,-,0.5,20309,13041,7267,121,484,-363,-1820,375,2195,5084
2013-10-24,21570,7246,109.0,110.0,108.5,110.0,-,1.0,15459,9494,5964,115,699,-584,402,659,257,5782
2013-10-25,37244,11658,108.5,109.0,106.5,107.0,-,3.0,19406,24739,-5333,225,1290,-1065,246,1074,828,-6152
2013-10-28,21241,5634,108.0,109.5,107.5,109.5,+,2.5,16675,8364,8310,29,447,-418,-491,272,763,7401
2013-10-29,21531,4061,108.5,109.5,108.0,109.5, ,0.0,18098,14565,3532,10,13,-3,2,364,362,3531
2013-10-30,16768,4443,109.0,110.0,109.0,110.0,+,0.5,12950,7128,5822,15,49,-34,134,309,175,5922
2013-10-31,23098,4626,108.5,109.5,108.0,109.5,-,0.5,20307,18565,1742,176,3,173,-104,204,308,1811
2013-11-01,10870,3795,110.5,110.5,108.5,109.5, ,0.0,9183,4826,4357,50,353,-303,-475,219,694,3579
2013-11-04,9642,4622,108.0,109.0,108.0,109.0,-,0.5,7566,6065,1500,0,265,-265,-122,259,381,1113
2013-11-05,21861,6414,108.5,109.0,106.5,106.5,-,2.5,7757,16418,-8661,15,160,-145,684,935,251,-8122
2013-11-06,17440,7155,106.5,107.5,106.5,107.0,+,0.5,9983,8413,1570,10,128,-118,672,899,227,2124
2013-11-07,15944,5026,107.0,107.5,106.0,107.0, ,0.0,9690,10314,-623,0,67,-67,202,341,139,-488
2013-11-08,31481,7421,105.0,106.5,105.0,106.0,-,1.0,15679,24735,-9056,700,493,207,310,574,264,-8539
2013-11-11,21491,8709,105.0,106.0,104.5,104.5,-,1.5,4941,17582,-12641,11,32,-21,558,721,163,-12104
2013-11-12,31992,6868,106.0,106.0,104.5,105.0,+,0.5,18318,19140,-822,119,296,-177,912,1032,120,-87
2013-11-13,26708,8182,105.0,105.0,103.0,103.0,-,2.0,10284,23323,-13038,206,60,146,387,621,234,-12505
2013-11-14,29933,7251,104.0,104.5,103.5,103.5,+,0.5,15259,25133,-9874,176,366,-190,318,356,38,-9746
2013-11-15,19904,5083,103.5,104.5,103.5,104.0,+,0.5,7241,17987,-10746,203,0,203,534,597,63,-10009
2013-11-18,25297,6957,104.5,105.0,104.0,104.0, ,0.0,17880,20521,-2641,498,220,278,261,547,286,-2102
2013-11-19,34510,8014,104.5,105.5,104.0,105.0,+,1.0,14291,27143,-12851,798,22,776,2848,2955,107,-9227
2013-11-20,46675,10990,104.0,104.0,102.5,103.0,-,2.0,10563,43758,-33194,149,370,-221,5564,5937,373,-27851
2013-11-21,57002,14431,102.0,103.0,100.5,101.0,-,2.0,27227,51862,-24635,162,130,32,823,1192,369,-23780
2013-11-22,57158,13182,100.0,101.5,100.0,100.0,-,1.0,24573,53216,-28643,237,130,107,131,583,452,-28405
2013-11-25,30949,7929,101.0,102.5,101.0,101.0,+,1.0,14492,26323,-11830,339,98,240,1496,1571,75,-10094
2013-11-26,47194,11490,102.0,105.0,101.5,103.5,+,2.5,35003,30203,4799,528,108,420,-279,945,1224,4940
2013-11-27,22853,6528,105.0,105.5,104.5,105.0,+,1.5,17169,12203,4966,446,0,446,-1254,175,1429,4158
2013-11-28,22995,6169,105.0,105.5,104.5,105.0, ,0.0,16591,9410,7180,103,67,36,532,768,236,7748
2013-11-29,34465,5923,104.5,105.0,104.0,105.0, ,0.0,26194,17681,8512,40,117,-77,748,861,113,9183
2013-12-02,19042,4418,105.0,105.5,104.0,104.5,-,0.5,10940,7493,3446,34,273,-239,209,549,340,3416
2013-12-03,26811,4779,104.0,105.0,103.5,104.0,-,0.5,13794,20395,-6600,7,198,-191,-418,257,675,-7209
2013-12-04,23630,5304,103.5,105.5,103.5,105.0,+,1.0,16167,11468,4699,28,20,8,-116,380,496,4591
2013-12-05,25209,5844,105.0,105.0,103.5,104.0,-,1.0,11381,21975,-10594,0,102,-102,-362,191,553,-11058
2013-12-06,25358,5835,103.0,104.5,103.0,103.0,-,1.0,15154,19892,-4738,39,429,-390,192,391,199,-4936
2013-12-09,23971,5324,104.0,105.0,104.0,105.0,+,2.0,18217,10615,7601,132,416,-284,477,531,54,7794
2013-12-10,22935,4643,104.5,105.0,104.0,104.0,-,1.0,16648,16164,484,238,377,-139,34,175,141,379
2013-12-11,24614,7385,103.5,105.0,103.5,105.0,+,1.0,21609,14078,7531,152,80,72,-1135,224,1359,6468
2013-12-12,18536,5445,104.5,104.5,103.0,103.0,-,2.0,7494,14818,-7324,706,328,378,488,608,120,-6458
2013-12-13,28297,7034,102.5,103.5,102.5,102.5,-,0.5,8124,23244,-15120,817,23,794,359,557,198,-13967
2013-12-16,18772,6032,102.5,103.0,102.0,102.0,-,0.5,7223,12463,-5240,422,926,-504,-87,89,176,-5832
2013-12-17,26232,6356,103.0,104.5,103.0,103.5,+,1.5,18854,16949,1904,657,508,149,-512,71,583,1541
2013-12-18,66102,15072,102.5,103.0,101.0,101.0,-,2.5,30227,60030,-29803,362,381,-18,1257,1534,277,-28565
2013-12-19,27824,6192,102.0,103.0,101.5,102.5,+,1.5,10561,22215,-11654,156,331,-175,-374,487,861,-12203
2013-12-20,37618,8353,101.5,103.5,101.5,102.0,-,0.5,17587,29283,-11696,218,405,-187,626,925,299,-11257
2013-12-23,28393,6994,103.0,104.5,103.0,104.0,+,2.0,13322,14679,-1357,311,11,300,-364,390,754,-1421
2013-12-24,14079,3724,104.0,104.0,103.0,103.0,-,1.0,1777,9647,-7870,400,572,-172,377,632,255,-7665
2013-12-25,9789,2848,102.5,103.5,102.5,103.0, ,0.0,1585,4794,-3209,0,122,-122,729,789,60,-2602
2013-12-26,6793,1135,103.0,104.0,103.0,104.0,+,1.0,297,765,-468,10,50,-40,-70,74,144,-578
2013-12-27,24135,5626,103.5,104.5,103.0,104.5,+,0.5,10944,14931,-3987,50,339,-289,301,775,474,-3975
2013-12-30,44280,10564,104.0,106.0,104.0,106.0,+,1.5,23958,15254,8703,30,459,-429,9,630,621,8283
2013-12-31,24484,6632,105.5,106.0,105.0,105.5,-,0.5,14110,10256,3853,587,431,155,228,1005,777,4236
2014-01-02,15133,4136,105.0,105.5,103.5,104.5,-,1.0,6295,11079,-4784,40,1024,-984,925,1152,227,-4843
